SUPERSTARS,DATE,DAYS,TEAMS,TITLES,GENDER
" David Hart Smith",2010-04-26,112,"Hart Dynasty",WORLD_TAG_TEAM_WWE,male
" Tyson Kidd",2010-04-26,112,"Hart Dynasty",WORLD_TAG_TEAM_WWE,male
"Seth Rollins",2017-12-25,34,NULL,RAW_TAG_TEAM_WWE,male
"Jason Jordan",2017-12-25,34,NULL,RAW_TAG_TEAM_WWE,male
"Braun Stowman",2018-04-08,1,NULL,RAW_TAG_TEAM_WWE,male
Nicholas,2018-04-08,1,NULL,RAW_TAG_TEAM_WWE,male
"Dolph Ziggler",2018-09-03,49,NULL,RAW_TAG_TEAM_WWE,male
"Drew McIntyre",2018-09-03,49,NULL,RAW_TAG_TEAM_WWE,male
"Bobby Roode",2018-12-10,63,NULL,RAW_TAG_TEAM_WWE,male
"Chad Gable",2018-12-10,63,NULL,RAW_TAG_TEAM_WWE,male
"Curt Hawkins",2019-04-07,64,NULL,RAW_TAG_TEAM_WWE,male
"Zack Ryder",2019-04-07,64,NULL,RAW_TAG_TEAM_WWE,male
"Braun Strowman",2019-08-19,27,NULL,RAW_TAG_TEAM_WWE,male
"Seth Rollins",2019-08-19,27,NULL,RAW_TAG_TEAM_WWE,male
"Dolph Ziggler",2019-09-15,29,NULL,RAW_TAG_TEAM_WWE,male
"Robert Roode",2019-09-15,29,NULL,RAW_TAG_TEAM_WWE,male
"Buddy Murphy",2020-01-20,42,NULL,RAW_TAG_TEAM_WWE,male
"Seth Rollins",2020-01-20,42,NULL,RAW_TAG_TEAM_WWE,male
"AJ Styles",2021-04-10,133,NULL,RAW_TAG_TEAM_WWE,male
Omos,2021-04-10,133,NULL,RAW_TAG_TEAM_WWE,male
"Kevin Owens",2023-04-01,154,NULL,RAW_TAG_TEAM_WWE,male
"Sami Zayn",2023-04-01,154,NULL,RAW_TAG_TEAM_WWE,male
"Cody Rhodes",2023-10-07,9,NULL,RAW_TAG_TEAM_WWE,male
"Jey Uso",2023-10-07,9,NULL,RAW_TAG_TEAM_WWE,male
